"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7gDwRzJhLs0fFHaGtMDJVM","Baby Blue (feat. Chance the Rapper)","spotify:artist:7BMccF0hQFBpP6417k1OtQ, spotify:artist:1anyVhU62p31KFi8MEzkbf","Action Bronson, Chance the Rapper","spotify:album:7ijgeLAW3W3vZ9jf6tozFq","Mr. Wonderful","spotify:artist:7BMccF0hQFBpP6417k1OtQ","Action Bronson","2015-03-23","https://i.scdn.co/image/ab67616d0000b2730949c5a5ad8bec4bebacc47d","1","9","280160","https://p.scdn.co/mp3-preview/7dfd94e6cf81af865e98660fb784af6d6f5e448d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USAT21500295","spotify:user:1257158050","2017-10-20T21:32:25Z"
"spotify:track:40oKW22ZNNkEdZLJTScaQI","Roll in Peace (feat. XXXTENTACION)","spotify:artist:46SHBwWsqBkxI7EeeBEQG7, spotify:artist:15UsOTVnJzReFVN1VCnxy4","Kodak Black, XXXTENTACION","spotify:album:51wp3EOOp2mBIjhZjR7W0i","Project Baby 2: All Grown Up","spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Kodak Black","2017-08-18","https://i.scdn.co/image/ab67616d0000b273583ce93dc89d84218f233ea7","1","3","213132","https://p.scdn.co/mp3-preview/1b576ba973999ee4ea4233c137e4973fc5dce959?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USAT21703137","spotify:user:1257158050","2017-10-20T21:33:10Z"
"spotify:track:7floNISpH8VF4z4459Qo18","Look At Me!","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:3cyyJALrHc8LawnQNFYRWL","Look At Me!","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-02-20","https://i.scdn.co/image/ab67616d0000b27371af28545729f60b3eca66f7","1","1","126345","https://p.scdn.co/mp3-preview/7add0b609734fafbb2a8284bd5821203d41b46c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USUYG1131080","spotify:user:1257158050","2017-10-20T21:33:36Z"
"spotify:track:6kig1UFggPUyZBCvXD3Wod","No Complaints","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW, spotify:artist:3TVXtAsR1Inumwj472S9r4","Metro Boomin, Offset, Drake","spotify:album:4VXEIoFGEjhFMW7wYAvWSf","No Complaints","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","2017-06-23","https://i.scdn.co/image/ab67616d0000b2737ac0cb3f396b39bad65b60c2","1","1","261733","","true","0","USUG11700928","spotify:user:1257158050","2017-10-20T21:34:28Z"
"spotify:track:6eT7xZZlB2mwyzJ2sUKG6w","White Iverson","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:5s0rmjP8XOPhP6HhqOhuyC","Stoney (Deluxe)","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2016-12-09","https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41","1","6","256533","https://p.scdn.co/mp3-preview/a541657b117e53d46fd1584b9116986987fd0306?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USUM71511528","spotify:user:1257158050","2017-10-20T21:34:46Z"
"spotify:track:1f5cbQtDrykjarZVrShaDI","Drowning (feat. Kodak Black)","spotify:artist:31W5EY0aAly4Qieq6OFu6I, spotify:artist:46SHBwWsqBkxI7EeeBEQG7","A Boogie Wit da Hoodie, Kodak Black","spotify:album:3HHp5I6Q6SEyU5bkvoCtnV","The Bigger Artist","spotify:artist:31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie","2017-09-29","https://i.scdn.co/image/ab67616d0000b273cdba7ee22968991250725ce1","1","3","209269","https://p.scdn.co/mp3-preview/f770a1a0b3dfb5bc652f89848e45ab9d09f7dc69?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USAT21701817","spotify:user:1257158050","2017-10-20T21:34:49Z"
"spotify:track:7xVLFuuYdAvcTfcP3IG3dS","Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)","spotify:artist:5dHt1vcEm9qb8fCyLcB3HL, spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:0I5HubncQ8E1MFZOlPDY4J, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","A$AP Ferg, French Montana, A$AP Rocky, Trinidad James, ScHoolboy Q","spotify:album:3smlfAmejcKMmAPg1G2Kki","Trap Lord","spotify:artist:5dHt1vcEm9qb8fCyLcB3HL","A$AP Ferg","2013-08-19","https://i.scdn.co/image/ab67616d0000b273005ca921bdef6548d4f71b76","1","8","283693","https://p.scdn.co/mp3-preview/451049d0cb429e502899cd0df0c3f473a029e7f9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USRC11300223","spotify:user:1257158050","2017-10-20T21:34:56Z"
"spotify:track:02hNDxtMMTpq72rdp1lm6v","4 AM","spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","2 Chainz, Travis Scott","spotify:album:3DiL3a7eQef1sDc8DMvj50","Pretty Girls Like Trap Music","spotify:artist:17lzZA2AlOHwCwFALHttmp","2 Chainz","2017-06-16","https://i.scdn.co/image/ab67616d0000b273c98eb36b9cfed92ec24d9c05","1","4","255560","","true","0","USUM71705267","spotify:user:1257158050","2017-10-20T21:35:12Z"
"spotify:track:1XRgIKC5TPwo7nWGyKqgG0","I Get the Bag (feat. Migos)","spotify:artist:13y7CgLHjMVRMDqxdx0Xdo, spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Gucci Mane, Migos","spotify:album:2aTOwGU66ocsf8IQpOI0XZ","Mr. Davis","spotify:artist:13y7CgLHjMVRMDqxdx0Xdo","Gucci Mane","2017-10-13","https://i.scdn.co/image/ab67616d0000b273af7525e55333b110ff0f4e95","1","3","233087","https://p.scdn.co/mp3-preview/700bb411f240b0f7dad007ce522ca9b0dfe3b4ce?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USAT21703179","spotify:user:1257158050","2017-10-20T21:35:19Z"
"spotify:track:2fQrGHiQOvpL9UgPvtYy6G","Bank Account","spotify:artist:1URnnhqYAYcrqrcwql10ft","21 Savage","spotify:album:4QUNWTw2FsIz722xjUjFJw","Issa Album","spotify:artist:1URnnhqYAYcrqrcwql10ft","21 Savage","2017-09-23","https://i.scdn.co/image/ab67616d0000b273e83b061a735d3851dc27f745","1","1","220306","","true","5","USSM11705546","spotify:user:1257158050","2017-10-22T18:31:35Z"
